Unnamed: 0,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,price_eur,max_price_eur
133,Junior Dina Ebimbe,Éric Junior Dina Ebimbe,22,1.84,France  Cameroon,Stains,7.5,7.5,midfield - Right Midfield,26,Right,E. Frankfurt,2023-06-30,2022-08-21,Relatives,Unknown,7.5,7.5
134,Daichi Kamada,鎌田 大地,26,1.84,Japan,"Iyo, Ehime",30.0,30.0,midfield - Attacking Midfield,15,Right,E. Frankfurt,2023-06-30,2017-07-01,Roberto Tukada,Nike,30.0,30.0
135,Jesper Lindström,Jesper Grænge Lindstrøm,23,1.82,Denmark,Taastrup,28.0,28.0,midfield - Attacking Midfield,29,Right,E. Frankfurt,2026-06-30,2021-07-11,Nsg Aps,Adidas,28.0,28.0
136,Mario Götze,,30,1.76,Germany,Memmingen,13.0,55.0,midfield - Attacking Midfield,27,Right,E. Frankfurt,2025-06-30,2022-07-01,Sports360 Gmbh,Nike,13.0,55.0
137,Paxten Aaronson,Paxten Reid Aaronson,19,1.75,United States,"Medford, New Jersey",4.5,4.5,midfield - Attacking Midfield,30,Right,E. Frankfurt,2027-06-30,2023-01-01,Wasserman,Unknown,4.5,4.5
138,Faride Alidou,,21,1.86,Germany  Togo,Hamburg,2.5,2.5,Attack - Left Winger,11,Right,E. Frankfurt,2026-06-30,2022-07-01,Ftc,Unknown,2.5,2.5
139,Ansgar Knauff,,21,1.8,Germany  Ghana,Göttingen,10.0,10.0,Attack - Right Winger,36,Right,E. Frankfurt,2023-06-30,2022-01-20,H.S.P. ...,Under Armour,10.0,10.0
140,Randal Kolo Muani,,24,1.87,France  Dr Congo,Bondy,65.0,65.0,Attack - Centre-Forward,9,Right,E. Frankfurt,2027-06-30,2022-07-01,Relatives,Adidas,65.0,65.0
141,Rafael Borré,Rafael Santos Borré Maury,27,1.74,Colombia,Barranquilla,12.0,20.0,Attack - Centre-Forward,19,Right,E. Frankfurt,2025-06-30,2021-07-05,Wasserman,Unknown,12.0,20.0
142,Lucas Alario,Lucas Nicolás Alario,30,1.85,Argentina  Italy,"Tostado, Santa Fe",4.0,20.0,Attack - Centre-Forward,21,Right,E. Frankfurt,2025-06-30,2022-07-01,Pedro Aldave Ortuzar,Adidas,4.0,20.0
144,Jonas Omlin,,29,1.9,Switzerland,Sarnen,7.0,8.0,Goalkeeper,1,Right,Bor. M'Gladbach,2027-06-30,2023-01-19,Signature - Iscm Ag,Puma,7.0,8.0
145,Jan Olschowsky,Jan Jakob Olschowsky,21,1.84,Germany,Neuss,0.5,0.5,Goalkeeper,41,Right,Bor. M'Gladbach,2027-06-30,2020-07-13,B360 Sports,Puma,0.5,0.5
146,Tobias Sippel,,35,1.83,Germany,Bad Dürkheim,0.4,3.0,Goalkeeper,21,Right,Bor. M'Gladbach,2024-06-30,2015-07-01,Dr. Michael Becker,Unknown,0.4,3.0
147,Nico Elvedi,,26,1.89,Switzerland,Zürich,20.0,35.0,Defender - Centre-Back,30,Right,Bor. M'Gladbach,2024-06-30,2015-07-01,Ifm,Nike,20.0,35.0
148,Ko Itakura,板倉 滉,26,1.88,Japan,"Yokohama, Kanagawa",12.0,12.0,Defender - Centre-Back,3,Right,Bor. M'Gladbach,2026-06-30,2022-07-02,Caa Base Ltd,Nike,12.0,12.0
149,Marvin Friedrich,,27,1.93,Germany,Kassel,5.0,10.0,Defender - Centre-Back,5,Right,Bor. M'Gladbach,2026-06-30,2022-01-11,Roof,Adidas,5.0,10.0
150,Tony Jantschke,,33,1.77,Germany,Hoyerswerda,0.8,9.0,Defender - Centre-Back,24,Right,Bor. M'Gladbach,2024-06-30,2009-07-01,Fröhlich ...,Unknown,0.8,9.0
151,Mamadou Doucouré,,24,1.83,France  Senegal,Dakar,0.1,0.5,Defender - Centre-Back,4,Left,Bor. M'Gladbach,2024-06-30,2016-07-01,Sport Avenir ...,Unknown,0.1,0.5
152,Ramy Bensebaini,رامي بن سبعيني,28,1.87,Algeria,Constantine,20.0,22.0,Defender - Left-Back,25,Left,Bor. M'Gladbach,2023-06-30,2019-08-14,Hcm Sports ...,Unknown,20.0,22.0
153,Luca Netz,,19,1.84,Germany,Berlin,6.5,6.5,Defender - Left-Back,20,Left,Bor. M'Gladbach,2026-06-30,2021-08-06,11Wins,Unknown,6.5,6.5
154,Joe Scally,Joseph Michael Scally,20,1.84,United States,"Lake Grove, New York",12.0,12.0,Defender - Right-Back,29,Right,Bor. M'Gladbach,2027-06-30,2021-01-01,Wasserman,Nike,12.0,12.0
155,Stefan Lainer,,30,1.75,Austria,Salzburg,3.5,18.0,Defender - Right-Back,18,Right,Bor. M'Gladbach,2024-06-30,2019-07-01,Roof,Unknown,3.5,18.0
157,Julian Weigl,,27,1.86,Germany,Bad Aibling,15.0,30.0,midfield - Defensive Midfield,8,Right,Bor. M'Gladbach,2023-06-30,2022-09-01,Sports360 Gmbh,Puma,15.0,30.0
158,Christoph Kramer,,32,1.91,Germany,Solingen,2.5,14.0,midfield - Defensive Midfield,6,Right,Bor. M'Gladbach,2025-06-30,2016-07-01,Roof,Adidas,2.5,14.0
159,Manu Koné,Kouadio Manu Koné,21,1.85,France  Cote D'Ivoire,Colombes,30.0,30.0,midfield - Central Midfield,17,Right,Bor. M'Gladbach,2025-06-30,2021-01-21,Classico,Adidas,30.0,30.0
160,Florian Neuhaus,Florian Christian Neuhaus,26,1.85,Germany,Landsberg Am Lech,15.0,38.0,midfield - Central Midfield,32,Right,Bor. M'Gladbach,2024-06-30,2017-07-01,Cn Sports,Unknown,15.0,38.0
161,Oscar Fraulo,Oscar Luigi Fraulo,19,1.8,Denmark  Italy,Odense,2.0,2.0,midfield - Central Midfield,22,Right,Bor. M'Gladbach,2026-06-30,2022-07-01,Nine Group,Nike,2.0,2.0
162,Lars Stindl,Lars Edi Stindl,34,1.81,Germany,Speyer,2.5,18.0,midfield - Attacking Midfield,13,Right,Bor. M'Gladbach,2023-06-30,2015-07-01,Dirk Hebel,Unknown,2.5,18.0
163,Conor Noß,,22,1.81,Ireland  Germany,Düsseldorf,0.7,0.7,midfield - Attacking Midfield,34,Both,Bor. M'Gladbach,2024-06-30,2021-07-01,B360 Sports,Adidas,0.7,0.7
164,Alassane Plea,Alassane Alexandre Plea,30,1.81,France  Mali,Lille,10.0,38.0,Attack - Left Winger,14,Right,Bor. M'Gladbach,2025-06-30,2018-07-13,Smi Sports ...,Unknown,10.0,38.0
165,Hannes Wolf,Hannes Tarn Wolf,24,1.79,Austria,Graz,4.0,12.0,Attack - Left Winger,11,Left,Bor. M'Gladbach,2024-06-30,2021-07-01,Hcm Sports ...,Unknown,4.0,12.0
166,Yvandro Borges Sanches,,18,1.75,Luxembourg  Cape Verde,Luxemburg,1.5,1.5,Attack - Left Winger,38,Right,Bor. M'Gladbach,2025-06-30,2022-07-01,Wasserman,Puma,1.5,1.5
167,Jonas Hofmann,,30,1.76,Germany,Heidelberg,13.0,16.0,Attack - Right Winger,23,Right,Bor. M'Gladbach,2025-06-30,2016-01-01,Dr. Marco Gutfleisch,Unknown,13.0,16.0
168,Nathan Ngoumou,Nathan Ngoumou Minpole,23,1.83,France  Cameroon,Toulouse,5.0,7.0,Attack - Right Winger,19,Right,Bor. M'Gladbach,2027-06-30,2022-08-30,Nexst11,Puma,5.0,7.0
169,Patrick Herrmann,,32,1.79,Germany,Uchtelfangen,2.0,12.0,Attack - Right Winger,7,Right,Bor. M'Gladbach,2024-06-30,2010-01-01,Pro Profil Gmbh,Puma,2.0,12.0
170,Marcus Thuram,Marcus Lilian Thuram-Ulien,25,1.92,France  Guadeloupe,Parma,32.0,40.0,Attack - Centre-Forward,10,Right,Bor. M'Gladbach,2023-06-30,2019-07-22,Sport Cover,Nike,32.0,40.0
171,Koen Casteels,,30,1.97,Belgium,Bonheiden,8.0,14.0,Goalkeeper,1,Left,Vfl Wolfsburg,2024-06-30,2015-01-21,Relatives,Nike,8.0,14.0
172,Pavao Pervan,,35,1.94,Austria,Livno,0.4,0.8,Goalkeeper,12,Both,Vfl Wolfsburg,2024-06-30,2018-07-01,Roof,Unknown,0.4,0.8
173,Philipp Schulze,,20,1.9,Germany,Unknown,0.2,0.2,Goalkeeper,35,Unknown,Vfl Wolfsburg,2026-06-30,2021-07-01,Pro Profil Gmbh,Adidas,0.2,0.2
174,Niklas Klinger,,27,1.87,Germany,Wolfsburg,0.1,0.1,Goalkeeper,30,Right,Vfl Wolfsburg,2025-06-30,2019-07-01,Tpwe Gmbh,Unknown,0.1,0.1
175,Maxence Lacroix,,23,1.9,France  Guadeloupe,Villeneuve-Saint-Georges,20.0,28.0,Defender - Centre-Back,4,Right,Vfl Wolfsburg,2025-06-30,2020-08-25,Hexagon,Unknown,20.0,28.0
176,Micky van de Ven,,22,1.93,Netherlands,Wormer,18.0,18.0,Defender - Centre-Back,5,Left,Vfl Wolfsburg,2027-06-30,2021-08-31,Team Raiola,Unknown,18.0,18.0
177,Sebastiaan Bornauw,,24,1.91,Belgium,Wemmel,8.5,14.0,Defender - Centre-Back,3,Right,Vfl Wolfsburg,2026-06-30,2021-07-16,Caa Stellar,Adidas,8.5,14.0
178,Paulo Otávio,,28,1.73,Brazil,Ourinhos,6.5,8.0,Defender - Left-Back,6,Left,Vfl Wolfsburg,2023-06-30,2019-07-01,Tfm Agency,Unknown,6.5,8.0
179,Nicolas Cozza,Nicolas Louis Marcel Cozza,24,1.78,France  Italy,Ganges,5.0,5.0,Defender - Left-Back,8,Left,Vfl Wolfsburg,2027-06-30,2023-01-25,Unknown,Unknown,5.0,5.0
180,Ridle Baku,Bote Nzuzi Baku,25,1.76,Germany  Dr Congo,Mainz,13.0,25.0,Defender - Right-Back,20,Right,Vfl Wolfsburg,2025-06-30,2020-10-01,Aka Global Gmbh,Adidas,13.0,25.0
181,Kilian Fischer,,22,1.82,Germany,Miltenberg,2.0,2.0,Defender - Right-Back,2,Both,Vfl Wolfsburg,2027-06-30,2022-07-01,Robert Schneider,Unknown,2.0,2.0
182,Bartol Franjic,Bartol Franjić,23,1.88,Croatia,Zagreb,4.0,6.5,midfield - Defensive Midfield,38,Left,Vfl Wolfsburg,2027-06-30,2022-07-01,Kostila,Unknown,4.0,6.5
183,Josuha Guilavogui,,32,1.88,France  Guinea,Toulon,3.0,14.0,midfield - Defensive Midfield,29,Right,Vfl Wolfsburg,2023-06-30,2016-07-01,Relatives,Unknown,3.0,14.0
184,Maximilian Arnold,,28,1.84,Germany,Riesa,17.0,19.0,midfield - Central Midfield,27,Left,Vfl Wolfsburg,2026-06-30,2012-01-01,Karl M. Herzog ...,Unknown,17.0,19.0
185,Mattias Svanberg,Mattias Olof Svanberg,24,1.85,Sweden,Malmö,15.0,15.0,midfield - Central Midfield,32,Right,Vfl Wolfsburg,2027-06-30,2022-07-16,Md Management,Unknown,15.0,15.0
186,Yannick Gerhardt,,29,1.84,Germany,Würselen,7.0,12.0,midfield - Central Midfield,31,Left,Vfl Wolfsburg,2025-06-30,2016-07-01,Stephan Engels,Unknown,7.0,12.0
187,Kevin Paredes,Kevin Alexander Paredes,20,1.7,United States  Dominican Republic,"South Riding, Virginia",5.0,5.0,midfield - Left Midfield,40,Left,Vfl Wolfsburg,2026-06-30,2022-01-28,Unknown,Unknown,5.0,5.0
188,Felix Nmecha,,22,1.9,Germany  England,Hamburg,8.0,8.0,midfield - Attacking Midfield,22,Right,Vfl Wolfsburg,2024-06-30,2021-07-21,Unknown,Unknown,8.0,8.0
189,Jakub Kaminski,Jakub Kamiński,20,1.79,Poland,Ruda Śląska,10.0,10.0,Attack - Left Winger,16,Right,Vfl Wolfsburg,2027-06-30,2022-07-01,Bmg-Sport,Adidas,10.0,10.0
190,Patrick Wimmer,,21,1.82,Austria,Tulln,12.0,12.0,Attack - Right Winger,39,Unknown,Vfl Wolfsburg,2027-06-30,2022-07-01,More Than Sport Gmbh,Puma,12.0,12.0
191,Luca Waldschmidt,Gian-Luca Waldschmidt,26,1.81,Germany,Siegen,3.0,20.0,Attack - Second Striker,7,Left,Vfl Wolfsburg,2025-06-30,2021-08-22,Sports360 Gmbh,Unknown,3.0,20.0
192,Lukas Nmecha,Lukas Okechukwu Nmecha,24,1.85,Germany  England,Hamburg,14.0,18.0,Attack - Centre-Forward,10,Right,Vfl Wolfsburg,2025-06-30,2021-07-16,Unknown,Unknown,14.0,18.0
193,Jonas Wind,Jonas Older Wind,24,1.9,Denmark,Hvidovre,14.0,14.0,Attack - Centre-Forward,23,Right,Vfl Wolfsburg,2026-06-30,2022-01-31,People In Sport,Unknown,14.0,14.0
194,Omar Marmoush,عمر مرموش | Omar Khaled Mohamed Marmoush,24,1.83,Egypt  Canada,Kairo,6.0,6.0,Attack - Centre-Forward,33,Right,Vfl Wolfsburg,2023-06-30,2020-07-01,Caa Stellar,Unknown,6.0,6.0
195,Dzenan Pejcinovic,Dženan Pejčinović,18,1.88,Germany  Montenegro,München,1.0,1.0,Attack - Centre-Forward,18,Left,Vfl Wolfsburg,2027-06-30,2022-07-14,Karl M. Herzog ...,Unknown,1.0,1.0
196,Mark Flekken,,29,1.95,Netherlands,Bocholtz,7.0,7.0,Goalkeeper,26,Both,Sc Freiburg,,2018-07-01,Seg,Unknown,7.0,7.0
197,Noah Atubolu,,20,1.9,Germany  Nigeria,Freiburg Im Breisgau,2.0,2.0,Goalkeeper,21,Right,Sc Freiburg,,2021-07-01,Unique Sports Group,Unknown,2.0,2.0
198,Benjamin Uphoff,,29,1.92,Germany,Burghausen,0.5,0.6,Goalkeeper,1,Right,Sc Freiburg,,2020-08-05,Karl M. Herzog ...,Unknown,0.5,0.6
199,Philipp Lienhart,,26,1.89,Austria,Lilienfeld,20.0,20.0,Defender - Centre-Back,3,Right,Sc Freiburg,2024-06-30,2018-07-01,You First,Nike,20.0,20.0
200,Matthias Ginter,Matthias Lukas Ginter,29,1.91,Germany,Freiburg Im Breisgau,20.0,35.0,Defender - Centre-Back,28,Right,Sc Freiburg,2027-06-30,2022-07-01,Unique Sports Group,Unknown,20.0,35.0
201,Manuel Gulde,,32,1.84,Germany,Mannheim,1.7,4.0,Defender - Centre-Back,5,Right,Sc Freiburg,,2016-07-01,Unique Sports Group,Unknown,1.7,4.0
202,Kenneth Schmidt,Tan-Kenneth Jerico Leka-Schmidt,20,1.87,Germany,Freiburg Im Breisgau,0.75,0.75,Defender - Centre-Back,35,Left,Sc Freiburg,,2023-01-01,Relatives,Unknown,0.75,0.75
203,Christian Günter,,30,1.84,Germany,Villingen-Schwenningen,10.0,12.0,Defender - Left-Back,30,Left,Sc Freiburg,,2012-07-01,Unique Sports Group,Unknown,10.0,12.0
204,Kimberly Ezekwem,Kimberly Chiwetalu Akwaeze Ezekwem,21,1.87,Germany  Nigeria,München,0.35,0.35,Defender - Left-Back,24,Left,Sc Freiburg,,2021-07-01,Cn Sports,Unknown,0.35,0.35
205,Kiliann Sildillia,Kiliann Eric Sildillia,20,1.86,France  Guadeloupe,Montigny-Lès-Metz,12.0,12.0,Defender - Right-Back,25,Right,Sc Freiburg,2026-06-30,2021-07-01,Rogon,Unknown,12.0,12.0
206,Lukas Kübler,,30,1.82,Germany,Bonn,3.0,3.0,Defender - Right-Back,17,Right,Sc Freiburg,,2015-07-01,Roof,Unknown,3.0,3.0
207,Jonathan Schmid,,32,1.79,France,Strasbourg,1.2,5.0,Defender - Right-Back,7,Right,Sc Freiburg,,2019-07-01,Unique Sports Group,Unknown,1.2,5.0
208,Yannik Keitel,,23,1.86,Germany,Breisach Am Rhein,4.0,4.0,midfield - Defensive Midfield,14,Both,Sc Freiburg,2024-06-30,2020-04-16,Unique Sports Group,Unknown,4.0,4.0
209,Nicolas Höfler,,33,1.81,Germany,Überlingen,2.5,4.5,midfield - Defensive Midfield,27,Right,Sc Freiburg,,2010-07-01,Unknown,Unknown,2.5,4.5
210,Maximilian Eggestein,,26,1.81,Germany,Hannover,8.0,30.0,midfield - Central Midfield,8,Right,Sc Freiburg,2025-06-30,2021-08-18,Roof,Unknown,8.0,30.0
211,Merlin Röhl,,20,1.92,Germany,Berlin,2.0,2.0,midfield - Central Midfield,34,Both,Sc Freiburg,,2022-08-17,Sportlobby,Unknown,2.0,2.0
212,Robert Wagner,,19,1.81,Germany,Lahr,0.9,0.9,midfield - Central Midfield,23,Right,Sc Freiburg,2024-06-30,2022-07-01,Vida 11,Unknown,0.9,0.9
213,Daniel-Kofi Kyereh,,27,1.79,Ghana  Germany,Accra,8.0,8.0,midfield - Attacking Midfield,11,Right,Sc Freiburg,,2022-07-01,Alfaria Sports Gmbh,Unknown,8.0,8.0
214,Vincenzo Grifo,,30,1.8,Italy,Pforzheim,12.0,12.0,Attack - Left Winger,32,Right,Sc Freiburg,,2019-09-02,Roof,Unknown,12.0,12.0
215,Noah Weißhaupt,Noah Raphael Weißhaupt,21,1.81,Germany,Rostock,2.5,2.5,Attack - Left Winger,33,Right,Sc Freiburg,,2021-07-01,Unique Sports Group,Puma,2.5,2.5
216,Ritsu Doan,堂安 律,24,1.72,Japan,"Amagasaki, Hyogo",15.0,15.0,Attack - Right Winger,42,Left,Sc Freiburg,,2022-07-05,Caa Stellar,Puma,15.0,15.0
217,Roland Sallai,,25,1.83,Hungary,Budapest,10.0,16.0,Attack - Right Winger,22,Both,Sc Freiburg,2025-06-30,2018-08-31,World Soccer Agency,Nike,10.0,16.0
218,Woo-yeong Jeong,정우영,23,1.79,"Korea, South",Ulsan,4.0,5.5,Attack - Second Striker,29,Right,Sc Freiburg,2025-06-30,2019-07-01,Apertura Sports Gmbh,Unknown,4.0,5.5
219,Michael Gregoritsch,,29,1.93,Austria,Graz,8.0,20.0,Attack - Centre-Forward,38,Left,Sc Freiburg,,2022-07-08,Rogon,Adidas,8.0,20.0
220,Lucas Höler,,28,1.84,Germany,Achim,5.0,6.5,Attack - Centre-Forward,9,Right,Sc Freiburg,,2018-01-01,Unique Sports Group,Unknown,5.0,6.5
221,Nils Petersen,,34,1.88,Germany,Wernigerode,1.5,12.0,Attack - Centre-Forward,18,Right,Sc Freiburg,2023-06-30,2015-07-01,Relatives,Adidas,1.5,12.0
222,Oliver Baumann,,32,1.87,Germany,Breisach Am Rhein,4.5,10.0,Goalkeeper,1,Right,Tsg Hoffenheim,2024-06-30,2014-07-01,Cn Sports,Adidas,4.5,10.0
223,Philipp Pentke,,38,1.91,Germany,Freiberg,0.3,0.4,Goalkeeper,12,Right,Tsg Hoffenheim,2023-06-30,2019-07-01,Bigpoint,Hashtagone,0.3,0.4
224,Luca Philipp,,22,1.92,Germany,Stuttgart,0.3,0.3,Goalkeeper,37,Unknown,Tsg Hoffenheim,2024-06-30,2020-07-31,Relatives,Unknown,0.3,0.3
225,Nahuel Noll,Nahuel Nicolas Noll,20,1.88,Germany  Spain,München,0.25,0.25,Goalkeeper,36,Both,Tsg Hoffenheim,2025-06-30,2021-07-01,Vida 11,Unknown,0.25,0.25
226,Ozan Kabak,Ozan Muhammed Kabak,23,1.87,Turkey,Ankara,10.0,32.0,Defender - Centre-Back,5,Right,Tsg Hoffenheim,2026-06-30,2022-07-23,F-F Sport,Nike,10.0,32.0
227,Stanley Nsoki,Stanley Pierre Nsoki,24,1.84,France  Dr Congo,Poissy,8.5,12.0,Defender - Centre-Back,34,Left,Tsg Hoffenheim,2027-06-30,2022-08-03,Rogon,Unknown,8.5,12.0
228,Kevin Akpoguma,Kevin John Ufuoma Akpoguma,28,1.92,Nigeria  Germany,Neustadt An Der Weinstraße,4.0,12.0,Defender - Centre-Back,25,Right,Tsg Hoffenheim,2024-06-30,2013-07-01,Unique Sports Group,Adidas,4.0,12.0
229,Kevin Vogt,,31,1.94,Germany,Witten,3.5,17.0,Defender - Centre-Back,22,Right,Tsg Hoffenheim,2025-06-30,2016-07-01,Roof,Unknown,3.5,17.0
230,John Anthony Brooks,,30,1.94,United States  Germany,Berlin,3.0,15.0,Defender - Centre-Back,23,Left,Tsg Hoffenheim,2024-06-30,2023-01-26,Rogon,Unknown,3.0,15.0
231,Eduardo Quaresma,Eduardo Filipe Quaresma Vieira Coimbra Simões,21,1.85,Portugal,Barreiro,3.0,7.0,Defender - Centre-Back,26,Right,Tsg Hoffenheim,2023-06-30,2022-08-04,Proeleven S.A.,Adidas,3.0,7.0
232,Ermin Bicakcic,Ermin Bičakčić,33,1.85,Bosnia-Herzegovina  Germany,Zvornik,1.0,4.0,Defender - Centre-Back,4,Right,Tsg Hoffenheim,2023-06-30,2014-07-01,Sport Business ...,Adidas,1.0,4.0
233,Angeliño,,26,1.71,Spain,Coristanco,14.0,35.0,Defender - Left-Back,11,Left,Tsg Hoffenheim,2023-06-30,2022-08-08,Vida 11,Nike,14.0,35.0
234,Pavel Kaderabek,Pavel Kadeřábek,31,1.82,Czech Republic,Praha,4.0,20.0,Defender - Right-Back,3,Right,Tsg Hoffenheim,2025-06-30,2015-07-01,No Agent,Unknown,4.0,20.0
235,Justin Che,Justin Isiah Che,19,1.85,United States  Germany,"Richardson, Texas",2.0,3.0,Defender - Right-Back,24,Right,Tsg Hoffenheim,2023-06-30,2023-01-18,Caa Stellar,Nike,2.0,3.0
236,Angelo Stiller,,22,1.83,Germany,München,6.0,7.0,midfield - Defensive Midfield,13,Left,Tsg Hoffenheim,2025-06-30,2021-07-01,Gol International,Unknown,6.0,7.0
237,Sebastian Rudy,,33,1.8,Germany,Villingen-Schwenningen,1.5,15.0,midfield - Defensive Midfield,16,Right,Tsg Hoffenheim,2023-06-30,2021-07-01,Relatives,Nike,1.5,15.0
238,Dennis Geiger,,24,1.73,Germany,Mosbach,9.0,13.0,midfield - Central Midfield,8,Right,Tsg Hoffenheim,2027-06-30,2016-07-01,Winstar Management,Unknown,9.0,13.0
239,Grischa Prömel,,28,1.84,Germany,Stuttgart,7.5,7.5,midfield - Central Midfield,6,Right,Tsg Hoffenheim,2026-06-30,2022-07-01,Unique Sports Group,Unknown,7.5,7.5
240,Thomas Delaney,Thomas Joseph Delaney,31,1.82,Denmark  United States,Frederiksberg,3.0,27.0,midfield - Central Midfield,17,Left,Tsg Hoffenheim,2023-06-30,2023-01-30,Elite Sports ...,Unknown,3.0,27.0
241,Finn Ole Becker,,22,1.77,Germany,Elmshorn,1.0,2.5,midfield - Central Midfield,20,Left,Tsg Hoffenheim,2026-06-30,2022-07-01,Sports360 Gmbh,Unknown,1.0,2.5
242,Umut Tohumcu,Umut Deger Tohumcu,18,1.75,Germany  Turkey,Offenburg,1.0,1.0,midfield - Central Midfield,40,Both,Tsg Hoffenheim,2026-06-30,2023-01-18,Rogon,Adidas,1.0,1.0
243,Robert Skov,Robert Faxe Skov,26,1.85,Denmark,Marbella,9.0,14.0,midfield - Right Midfield,29,Left,Tsg Hoffenheim,2024-06-30,2019-07-29,Elite Sports ...,Unknown,9.0,14.0
244,Christoph Baumgartner,,23,1.8,Austria,Horn,20.0,22.0,midfield - Attacking Midfield,14,Right,Tsg Hoffenheim,2025-06-30,2019-01-15,You First,Unknown,20.0,22.0
245,Tom Bischof,,17,1.76,Germany,Aschaffenburg,3.5,3.5,midfield - Attacking Midfield,39,Left,Tsg Hoffenheim,2025-06-30,2021-07-01,Agent Is Known - Player Under 18,Unknown,3.5,3.5
246,Muhammed Damar,Muhammed Mehmet Damar,19,1.85,Germany  Turkey,Berlin,1.0,1.0,midfield - Attacking Midfield,35,Both,Tsg Hoffenheim,2026-06-30,2022-07-01,Emg Mundial,Unknown,1.0,1.0
247,Jacob Bruun Larsen,,24,1.83,Denmark,Lyngby,4.0,20.0,Attack - Left Winger,7,Right,Tsg Hoffenheim,2024-06-30,2020-01-31,Boutique Transfers,Nike,4.0,20.0
248,Kasper Dolberg,Kasper Dolberg Rasmussen,25,1.87,Denmark,Silkeborg,9.0,23.0,Attack - Centre-Forward,19,Right,Tsg Hoffenheim,2023-06-30,2023-01-02,Rafaela Pimenta,Adidas,9.0,23.0
249,Andrej Kramaric,Andrej Kramarić,31,1.77,Croatia,Zagreb,9.0,38.0,Attack - Centre-Forward,27,Right,Tsg Hoffenheim,2025-06-30,2016-07-01,Unknown,Adidas,9.0,38.0
250,Ihlas Bebou,,29,1.83,Togo  Germany,Aledjo Kadara,7.0,16.0,Attack - Centre-Forward,9,Right,Tsg Hoffenheim,2026-06-30,2019-07-01,Wasserman,Unknown,7.0,16.0
251,Munas Dabbur,מואנס דאבור,30,1.82,Israel,Nazareth,4.0,15.0,Attack - Centre-Forward,10,Right,Tsg Hoffenheim,2024-06-30,2020-01-07,Soccer Mondial Ag,Nike,4.0,15.0
252,Fisnik Asllani,,20,1.88,Germany  Kosovo,Berlin,0.8,0.8,Attack - Centre-Forward,44,Both,Tsg Hoffenheim,2026-06-30,2022-01-04,Rogon,Unknown,0.8,0.8
253,Frederik Rönnow,Frederik Riis Rønnow,30,1.88,Denmark,Horsens,3.5,3.5,Goalkeeper,1,Right,Union Berlin,2024-06-30,2021-07-20,Boutique Transfers,Adidas,3.5,3.5
254,Lennart Grill,Hannes Lennart Grill,24,1.92,Germany,Idar-Oberstein,1.0,1.5,Goalkeeper,37,Right,Union Berlin,2023-06-30,2022-07-01,Soccertalk Gmbh,Unknown,1.0,1.5
255,Jakob Busk,Jakob Busk Jensen,29,1.89,Denmark,Kopenhagen,0.25,0.8,Goalkeeper,12,Right,Union Berlin,2024-06-30,2016-01-15,Relatives,Unknown,0.25,0.8
256,Diogo Leite,Diogo Filipe Monteiro Pinto Leite,24,1.9,Portugal,Porto,12.0,12.0,Defender - Centre-Back,4,Left,Union Berlin,2023-06-30,2022-07-16,Unknown,Unknown,12.0,12.0
257,Danilho Doekhi,Danilho Raimundo Doekhi,24,1.9,Netherlands  Suriname,Rotterdam,12.0,12.0,Defender - Centre-Back,5,Right,Union Berlin,2025-06-30,2022-07-01,Wasserman,Unknown,12.0,12.0
258,Paul Jaeckel,,24,1.86,Germany,Eisenhüttenstadt,5.5,7.5,Defender - Centre-Back,3,Right,Union Berlin,,2021-07-01,Karl M. Herzog ...,Adidas,5.5,7.5
259,Robin Knoche,,30,1.89,Germany,Braunschweig,5.0,12.0,Defender - Centre-Back,31,Right,Union Berlin,2024-06-30,2020-08-04,Sports360 Gmbh,Unknown,5.0,12.0
260,Timo Baumgartl,,27,1.9,Germany,Böblingen,3.5,15.0,Defender - Centre-Back,25,Right,Union Berlin,2023-06-30,2021-07-01,Cn Sports,Adidas,3.5,15.0
261,Jérôme Roussillon,,30,1.72,Guadeloupe  France,Sarcelles,3.0,20.0,Defender - Left-Back,26,Left,Union Berlin,,2023-01-12,Only Pro Sport,Nike,3.0,20.0
262,Niko Gießelmann,,31,1.82,Germany,Hannover,2.0,4.0,Defender - Left-Back,23,Left,Union Berlin,2023-06-30,2020-07-15,Smg Gmbh,Unknown,2.0,4.0
263,Josip Juranovic,Josip Juranović,27,1.73,Croatia,Zagreb,9.0,9.0,Defender - Right-Back,18,Right,Union Berlin,2027-06-30,2023-01-22,Fsb – ...,Unknown,9.0,9.0
264,Christopher Trimmel,,36,1.89,Austria,Oberpullendorf,0.8,1.2,Defender - Right-Back,28,Right,Union Berlin,2024-06-30,2014-07-01,Roof,Adidas,0.8,1.2
265,Rani Khedira,,29,1.89,Germany  Tunisia,Stuttgart,8.0,10.0,midfield - Defensive Midfield,8,Right,Union Berlin,,2021-07-01,Ngm Sports,Unknown,8.0,10.0
266,Morten Thorsby,,27,1.88,Norway,Oslo,7.0,7.0,midfield - Central Midfield,2,Right,Union Berlin,2025-06-30,2022-07-19,Pando,Adidas,7.0,7.0
267,Janik Haberer,,29,1.86,Germany,Wangen Im Allgäu,7.0,10.0,midfield - Central Midfield,19,Right,Union Berlin,2025-06-30,2022-07-01,Unique Sports Group,Puma,7.0,10.0
